,indie_game,action_game,platform_game,adventure_game,sci-fi,role-playing_video_game,puzzle_video_game,dates,lang
86,4703.0,13620.0,14873.0,33218.0,8182.0,9149.0,6009.0,2019-03-28,it
87,4463.0,14626.0,14342.0,35145.0,7846.0,8576.0,5937.0,2019-03-29,it
88,4600.0,14561.0,16386.0,33758.0,7851.0,8489.0,5636.0,2019-03-30,it
89,5218.0,16947.0,16735.0,39549.0,8455.0,9592.0,5471.0,2019-03-31,it
90,4935.0,14290.0,15573.0,32522.0,8741.0,8717.0,5922.0,2019-04-01,it
91,5523.0,14672.0,15309.0,32712.0,8765.0,8985.0,5857.0,2019-04-02,it
92,5340.0,16374.0,16151.0,34688.0,8079.0,8537.0,5654.0,2019-04-03,it
93,5695.0,19377.0,16222.0,35249.0,8290.0,9230.0,5947.0,2019-04-04,it
94,5226.0,15262.0,15346.0,31871.0,8170.0,8251.0,5750.0,2019-04-05,it
95,5219.0,15156.0,16571.0,32642.0,7684.0,8460.0,5529.0,2019-04-06,it
96,5818.0,16959.0,18879.0,38148.0,8913.0,9689.0,5823.0,2019-04-07,it
97,5032.0,14812.0,16954.0,33741.0,8200.0,9085.0,5686.0,2019-04-08,it
98,5159.0,13708.0,16046.0,32972.0,7941.0,8210.0,5485.0,2019-04-09,it
99,4769.0,13251.0,18087.0,31996.0,7716.0,7772.0,5199.0,2019-04-10,it
100,5001.0,14057.0,18105.0,31591.0,8388.0,8430.0,5911.0,2019-04-11,it
101,5064.0,13873.0,17292.0,31216.0,8173.0,8450.0,6270.0,2019-04-12,it
102,5010.0,14406.0,17317.0,32007.0,7922.0,8328.0,5733.0,2019-04-13,it
103,5932.0,16421.0,19184.0,40201.0,9251.0,10235.0,5900.0,2019-04-14,it
104,4902.0,13685.0,15557.0,33847.0,8075.0,8754.0,5418.0,2019-04-15,it
105,4629.0,12203.0,14370.0,30202.0,7695.0,7914.0,5047.0,2019-04-16,it
106,4582.0,12252.0,13918.0,31435.0,7243.0,7896.0,4918.0,2019-04-17,it
107,5328.0,13527.0,15023.0,33607.0,7611.0,8731.0,5395.0,2019-04-18,it
108,5342.0,12927.0,15469.0,32544.0,8417.0,8867.0,4833.0,2019-04-19,it
109,5204.0,12775.0,14541.0,31066.0,7767.0,8596.0,4970.0,2019-04-20,it
110,5445.0,15049.0,18633.0,38814.0,8745.0,9542.0,5607.0,2019-04-21,it
111,5195.0,18414.0,18232.0,37590.0,8839.0,9683.0,5448.0,2019-04-22,it
112,5979.0,17992.0,18411.0,40760.0,9446.0,10658.0,6408.0,2019-04-23,it
113,5777.0,27029.0,17353.0,52043.0,8938.0,9737.0,5991.0,2019-04-24,it
114,5371.0,31373.0,19839.0,61995.0,9148.0,9634.0,6066.0,2019-04-25,it
115,5407.0,37300.0,18275.0,70558.0,9131.0,8981.0,6155.0,2019-04-26,it
116,5112.0,28461.0,25172.0,54736.0,8518.0,8439.0,5401.0,2019-04-27,it
117,5480.0,29911.0,19876.0,57902.0,9599.0,9880.0,5550.0,2019-04-28,it
118,4878.0,27116.0,16287.0,50696.0,9200.0,9215.0,5314.0,2019-04-29,it
119,4967.0,23368.0,17397.0,44658.0,7943.0,8027.0,5214.0,2019-04-30,it
120,4872.0,24807.0,19032.0,47571.0,8876.0,8973.0,10887.0,2019-05-01,it
121,5082.0,22622.0,17238.0,43743.0,9738.0,8624.0,6761.0,2019-05-02,it
122,4954.0,23662.0,18626.0,44268.0,8684.0,8786.0,6075.0,2019-05-03,it
123,5282.0,25670.0,27467.0,45619.0,8927.0,9522.0,5579.0,2019-05-04,it
124,5478.0,25841.0,21189.0,50230.0,9817.0,10574.0,6024.0,2019-05-05,it
125,4774.0,21188.0,16926.0,43006.0,8342.0,8657.0,5191.0,2019-05-06,it
126,4490.0,19701.0,16822.0,43347.0,8040.0,7902.0,4970.0,2019-05-07,it
127,4514.0,18852.0,15962.0,38267.0,7561.0,7760.0,5133.0,2019-05-08,it
128,4709.0,16783.0,14694.0,33640.0,7908.0,7730.0,5414.0,2019-05-09,it
129,4682.0,17067.0,15609.0,34329.0,8807.0,10438.0,5099.0,2019-05-10,it
130,4871.0,26065.0,24836.0,37874.0,8456.0,9771.0,5368.0,2019-05-11,it
131,5388.0,20743.0,19978.0,41700.0,9351.0,10607.0,5807.0,2019-05-12,it
132,5088.0,16771.0,16056.0,35758.0,8418.0,9570.0,6147.0,2019-05-13,it
133,4873.0,17578.0,16622.0,38407.0,8202.0,8659.0,5951.0,2019-05-14,it
134,4871.0,15759.0,15744.0,37190.0,8022.0,8792.0,5794.0,2019-05-15,it
135,4824.0,17364.0,16126.0,34728.0,8315.0,8411.0,5578.0,2019-05-16,it
136,4493.0,22033.0,16156.0,41224.0,7772.0,8112.0,5684.0,2019-05-17,it
137,4989.0,18610.0,17248.0,40955.0,8018.0,8881.0,6098.0,2019-05-18,it
138,5275.0,19307.0,18045.0,40426.0,8924.0,10429.0,6196.0,2019-05-19,it
139,4848.0,15529.0,15441.0,35056.0,8385.0,9722.0,6443.0,2019-05-20,it
140,4879.0,15067.0,15392.0,34869.0,8073.0,8902.0,6584.0,2019-05-21,it
141,4945.0,15024.0,15604.0,33236.0,7870.0,8349.0,6455.0,2019-05-22,it
142,6355.0,14584.0,15107.0,32116.0,7852.0,8196.0,6352.0,2019-05-23,it
143,5466.0,14325.0,15562.0,32511.0,7958.0,8074.0,6533.0,2019-05-24,it
144,13749.0,15645.0,16926.0,34241.0,8391.0,16765.0,7491.0,2019-05-25,it
145,7272.0,19205.0,18385.0,37610.0,8694.0,11143.0,7128.0,2019-05-26,it
146,6134.0,21235.0,18828.0,39034.0,9420.0,9794.0,7198.0,2019-05-27,it
147,5837.0,18212.0,18340.0,36688.0,8845.0,9248.0,7928.0,2019-05-28,it
148,6040.0,22666.0,17317.0,35835.0,9053.0,9238.0,8817.0,2019-05-29,it
149,5419.0,22254.0,16407.0,33142.0,9486.0,9217.0,8407.0,2019-05-30,it
150,4855.0,19536.0,15452.0,32210.0,8544.0,8485.0,8335.0,2019-05-31,it
151,5263.0,17100.0,14863.0,30945.0,8196.0,8818.0,8242.0,2019-06-01,it
152,5617.0,18075.0,16428.0,35240.0,9230.0,9249.0,8927.0,2019-06-02,it
153,5358.0,16319.0,14770.0,31700.0,8681.0,8348.0,9087.0,2019-06-03,it
154,5424.0,15204.0,15139.0,38350.0,8252.0,8220.0,19181.0,2019-06-04,it
155,5280.0,14700.0,15067.0,31504.0,8719.0,8811.0,9232.0,2019-06-05,it
156,5306.0,14043.0,14355.0,29107.0,8136.0,10060.0,9207.0,2019-06-06,it
