,adventure_game,platform_game,shooting_game,action_game,puzzle_video_game,role-playing_video_game,visual_novel,dates,lang
205,45956.0,31344.0,15012.0,29857.0,13282.0,65146.0,44559.0,2019-07-25,ja
206,47363.0,30470.0,15001.0,29726.0,13068.0,65208.0,43010.0,2019-07-26,ja
207,56690.0,36493.0,17513.0,34385.0,12905.0,73982.0,49091.0,2019-07-27,ja
208,57554.0,34942.0,15697.0,34034.0,13808.0,85369.0,49046.0,2019-07-28,ja
209,48969.0,30694.0,16715.0,31815.0,13646.0,75378.0,44450.0,2019-07-29,ja
210,46224.0,29235.0,17223.0,30475.0,13526.0,73715.0,44311.0,2019-07-30,ja
211,46331.0,28833.0,15744.0,30570.0,15051.0,70485.0,44857.0,2019-07-31,ja
212,44889.0,27505.0,15266.0,31792.0,15209.0,68942.0,48822.0,2019-08-01,ja
213,44587.0,29104.0,14699.0,29730.0,12726.0,80551.0,44619.0,2019-08-02,ja
214,48131.0,31663.0,15135.0,31986.0,12989.0,88859.0,47806.0,2019-08-03,ja
215,49725.0,32955.0,16891.0,31168.0,14027.0,89715.0,49407.0,2019-08-04,ja
216,44588.0,27979.0,13905.0,29544.0,15373.0,78577.0,45821.0,2019-08-05,ja
217,45535.0,31083.0,14162.0,29316.0,22131.0,75179.0,48339.0,2019-08-06,ja
218,45662.0,30248.0,14008.0,27757.0,13912.0,71821.0,49988.0,2019-08-07,ja
219,46936.0,33447.0,19073.0,30094.0,14772.0,81533.0,52811.0,2019-08-08,ja
220,46335.0,54974.0,16832.0,32257.0,13380.0,73082.0,53897.0,2019-08-09,ja
221,49219.0,63068.0,16024.0,32294.0,13420.0,77966.0,54254.0,2019-08-10,ja
222,52066.0,44275.0,15972.0,34199.0,14106.0,79215.0,52089.0,2019-08-11,ja
223,54446.0,44872.0,17171.0,33276.0,14748.0,81892.0,54370.0,2019-08-12,ja
224,53992.0,40396.0,16921.0,35892.0,14571.0,80597.0,56097.0,2019-08-13,ja
225,61173.0,45153.0,17890.0,34037.0,15166.0,82170.0,59442.0,2019-08-14,ja
226,64564.0,43058.0,19457.0,36849.0,16727.0,86765.0,61764.0,2019-08-15,ja
227,58770.0,38871.0,17339.0,35041.0,14571.0,87287.0,55338.0,2019-08-16,ja
228,58211.0,37479.0,16584.0,33698.0,14387.0,82004.0,56530.0,2019-08-17,ja
229,57127.0,35408.0,16276.0,33284.0,17335.0,94549.0,57133.0,2019-08-18,ja
230,50297.0,31399.0,15622.0,30888.0,14971.0,79210.0,49066.0,2019-08-19,ja
231,51305.0,30200.0,15654.0,30731.0,14754.0,77466.0,47394.0,2019-08-20,ja
232,60397.0,30193.0,17351.0,31435.0,14346.0,74387.0,51338.0,2019-08-21,ja
233,51631.0,30038.0,17597.0,31544.0,14032.0,70545.0,48236.0,2019-08-22,ja
234,51561.0,57311.0,18250.0,32559.0,14991.0,72224.0,48909.0,2019-08-23,ja
235,57083.0,35666.0,17726.0,34295.0,14977.0,76608.0,51230.0,2019-08-24,ja
236,60795.0,32699.0,17275.0,34717.0,15020.0,79473.0,56931.0,2019-08-25,ja
237,54339.0,29534.0,16390.0,31777.0,14973.0,70952.0,46504.0,2019-08-26,ja
238,50911.0,30421.0,15816.0,31067.0,14563.0,68503.0,47103.0,2019-08-27,ja
239,49405.0,28671.0,15647.0,32093.0,13948.0,68472.0,46671.0,2019-08-28,ja
240,62569.0,28069.0,15593.0,33326.0,13576.0,85254.0,46343.0,2019-08-29,ja
241,56490.0,27723.0,17528.0,39416.0,13780.0,75516.0,45194.0,2019-08-30,ja
242,70111.0,30896.0,16431.0,35979.0,14067.0,77817.0,47931.0,2019-08-31,ja
243,60597.0,30994.0,17129.0,37035.0,14401.0,81824.0,52863.0,2019-09-01,ja
244,54831.0,24873.0,18000.0,34258.0,13447.0,70176.0,47935.0,2019-09-02,ja
245,55331.0,24885.0,18674.0,34105.0,13484.0,103173.0,49016.0,2019-09-03,ja
246,54320.0,27215.0,16812.0,34167.0,14286.0,89824.0,48704.0,2019-09-04,ja
247,55708.0,33909.0,17171.0,33455.0,19053.0,89268.0,44808.0,2019-09-05,ja
248,61161.0,30822.0,20042.0,35608.0,16508.0,74006.0,42058.0,2019-09-06,ja
249,62609.0,34410.0,17947.0,34854.0,17303.0,81717.0,46228.0,2019-09-07,ja
250,66580.0,37050.0,17413.0,35719.0,16949.0,85447.0,49904.0,2019-09-08,ja
251,58804.0,36434.0,16600.0,31007.0,15554.0,73832.0,43998.0,2019-09-09,ja
