,single_player_video_game,co_op_mode,multiplayer_video_game,lang,dates
218,143080.0,10713.0,61770.0,it,2019-08-07
219,132721.0,9732.0,58106.0,it,2019-08-08
220,133573.0,10024.0,57680.0,it,2019-08-09
221,129096.0,9375.0,55821.0,it,2019-08-10
222,140517.0,10337.0,61197.0,it,2019-08-11
223,141444.0,10697.0,61787.0,it,2019-08-12
224,139558.0,10121.0,63075.0,it,2019-08-13
225,133730.0,9748.0,58205.0,it,2019-08-14
226,136516.0,9298.0,54624.0,it,2019-08-15
227,146833.0,10566.0,62288.0,it,2019-08-16
228,157194.0,9996.0,60807.0,it,2019-08-17
229,151070.0,11244.0,64790.0,it,2019-08-18
230,150459.0,11123.0,65341.0,it,2019-08-19
231,146365.0,10484.0,64303.0,it,2019-08-20
232,155145.0,10734.0,62877.0,it,2019-08-21
233,159552.0,10627.0,62391.0,it,2019-08-22
234,166418.0,11102.0,64283.0,it,2019-08-23
235,160028.0,10538.0,63734.0,it,2019-08-24
236,165484.0,10478.0,67671.0,it,2019-08-25
237,156323.0,10625.0,63108.0,it,2019-08-26
238,163379.0,10823.0,65165.0,it,2019-08-27
239,167844.0,11132.0,64775.0,it,2019-08-28
240,158689.0,10734.0,61852.0,it,2019-08-29
241,153572.0,10153.0,59681.0,it,2019-08-30
242,153733.0,10228.0,59435.0,it,2019-08-31
243,185213.0,12286.0,78871.0,it,2019-09-01
244,165537.0,11900.0,67669.0,it,2019-09-02
245,155726.0,10971.0,60540.0,it,2019-09-03
246,150912.0,11133.0,61589.0,it,2019-09-04
247,151053.0,11560.0,62162.0,it,2019-09-05
248,127218.0,9625.0,52894.0,it,2019-09-06
249,147971.0,11400.0,66633.0,it,2019-09-07
250,183433.0,12170.0,92358.0,it,2019-09-08
251,156808.0,11750.0,67124.0,it,2019-09-09
252,154025.0,11133.0,64945.0,it,2019-09-10
253,149943.0,11613.0,64558.0,it,2019-09-11
254,141986.0,11219.0,61333.0,it,2019-09-12
255,149773.0,13906.0,65642.0,it,2019-09-13
